1.046406646442739952e+00,9.410221309665379730e-01,1.089315016850950002e+00,1.090868530503160017e+00,1.079419611951659919e+00,1.096501086710059969e+00,1.072030733944939973e+00,8.904758035193649501e-01,9.092168433575059661e-01,1.093002119463970079e+00,1.035717711677700104e+00,9.627259711578100010e-01,1.081913688733600054e+00,1.040582463867639973e+00,9.264415389724659500e-01
1.044103174586340055e+00,9.092355210713709557e-01,1.124381881428980101e+00,1.080955190844179903e+00,1.037482690446019928e+00,1.006953147862369891e+00,9.576995078284310514e-01,9.316559737163819799e-01,8.945190533665949850e-01,8.799955254128229987e-01,7.266793863459729552e-01,6.194549138989869919e-01,5.978652798689110259e-01,6.306057102831500449e-01,5.019724949891130050e-01
1.030419432564450011e+00,9.867304229340330135e-01,1.138822055716919968e+00,1.120129630913530017e+00,1.099350611848320058e+00,1.090746703562250008e+00,1.067428702342229974e+00,1.065632501936329968e+00,1.046486749698829932e+00,1.044650170990929938e+00,1.061816896964469903e+00,1.003689114740500044e+00,7.470266625421370099e-01,6.939432414289330442e-01,6.920071412599470007e-01
1.055305461845120085e+00,9.202780560669370225e-01,1.123464410170240013e+00,1.081744901201399989e+00,1.029498362076699980e+00,9.971942489267939802e-01,9.445935226907860027e-01,9.095735331510620414e-01,8.664540077703549725e-01,8.333739724596940235e-01,7.371419364065100455e-01,6.347267389514350544e-01,6.296525250514299898e-01,6.862079179942279783e-01,5.274177889279519915e-01
1.037623720766819968e+00,9.311179671196769814e-01,1.108914559112339937e+00,1.087530137059959934e+00,1.041362163079899927e+00,1.023417741811180059e+00,9.803626723179019731e-01,9.574568361037629760e-01,9.217682671826979979e-01,9.121084059337869476e-01,7.349839053887889939e-01,7.583269799650700360e-01,7.948699549600070080e-01,8.611434007259050061e-01,7.444223846994849625e-01
1.054709581657149897e+00,9.478308840378509847e-01,1.143025531711469922e+00,1.115385289024330095e+00,1.090422798980910102e+00,1.081744165170070104e+00,1.042803124790649960e+00,1.029865283140900090e+00,1.007687653612429957e+00,1.008297751929920105e+00,8.947779327026299523e-01,7.882066560028330171e-01,7.366798564692259577e-01,7.740283058739360067e-01,5.649247544120229447e-01
1.049201446390819914e+00,9.092557763906700119e-01,1.064945005149090074e+00,1.060138291500110075e+00,1.147578122873990081e+00,1.004546335181150107e+00,9.018815297461399982e-01,9.068691565643810515e-01,8.392452451232750299e-01,9.164539429308340424e-01,8.556245956953989484e-01,7.490073663446119578e-01,8.945603707877000099e-01,8.474822105835200237e-01,6.952240055133249719e-01
1.049841761980190080e+00,9.049079071850050227e-01,1.077667377602770094e+00,1.047100595408259949e+00,1.018397506835120092e+00,1.000749145473839974e+00,9.525487296798199610e-01,9.073430794485379813e-01,8.313536856307219836e-01,1.064356275404229946e+00,8.451401159926410500e-01,7.984776583706669761e-01,9.062170925425260259e-01,8.173296081920670142e-01,6.777298390562359609e-01
1.045337981090630031e+00,9.439563036595469692e-01,1.117968055251850057e+00,1.087422680935959951e+00,1.056002445998369899e+00,1.037225816209550011e+00,9.992298394047860466e-01,9.849630735164009998e-01,9.497578855812279786e-01,8.917802898303599513e-01,7.615368080954250107e-01,7.175115453266780463e-01,6.695081778610679768e-01,6.828295619527849913e-01,5.335232991893700261e-01
1.054546190225950086e+00,9.645533822468550511e-01,1.083970123762139970e+00,1.083229898590919893e+00,1.069274686105500027e+00,1.061409458985199894e+00,1.046967378148220051e+00,9.882086551311289879e-01,9.130533399093579972e-01,1.208432051294209941e+00,1.051675760450829999e+00,9.632667022884230379e-01,1.072251274196940107e+00,1.032241029644130004e+00,8.636553115605050124e-01
